model,auroc,auprc,f1,precision,recall,fpr,fnr,threshold,threshold_method
ensemble,0.8769854970917671,0.8271059133495248,0.8183951196621304,0.8095061269959153,0.8274814955399507,0.1250761916372059,0.17251850446004935,0.6905132133882332,f1
ecod,0.874867991372926,0.8313148750944759,0.8152901785714286,0.7993799015137698,0.8318466502182578,0.1340972814823845,0.16815334978174226,0.6853088689182397,f1
isolation_forest,0.869341126071504,0.7913598134601846,0.8022310455662696,0.7992088905631946,0.8052761434807364,0.12995245641838352,0.1947238565192636,0.7240925929200367,f1
hbos,0.855326573118857,0.7662129599016696,0.784908452006658,0.7653742110009017,0.8054659328145758,0.15860051200780204,0.19453406718542418,0.6430717925665254,f1
vae,0.8508803247412805,0.7531318634790214,0.7926764549796568,0.7422560874606593,0.8504460049345227,0.18968669998780935,0.1495539950654773,0.43803254902195327,f1
copod,0.828670761825214,0.7337577469527298,0.7273045609734746,0.6750081247968801,0.7883848927690263,0.2438132390588809,0.21161510723097363,0.5205655661040367,f1
